CIK,Ticker,Date,% day,% week,% month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,TextBlob,NLTK neg,NLTK neu,NLTK pos
769397,ADSK,3/23/2016,0.172711572,2.901554404,13.81692573,0.007560787,-1.052086927,0,40.69,13.1,10.8,11.2,15.7,14.85,8,6.3,0.063545311,0.043,0.818,0.139
771266,KOPN,3/4/2016,-12.5,-0.543478261,-2.717391304,0.043157139,-13.43283582,0,41.7,12.7,10.4,11.2,15.6,14.85,11,5.89,0.036678438,0.042,0.845,0.113
771497,ABM,12/21/2016,1.807523205,-1.343429409,-7.718612604,0.025933877,-0.907307504,0,39.67,13.4,11.2,11.2,15.7,14.39,14.5,5.8,0.063676226,0.044,0.785,0.17
771856,CSBR,7/29/2016,#N/A,-1.5,-12,#N/A,-1.75,0,39.67,13.4,11.2,11.2,16.3,15.15,6,6.2,0.045231861,0.036,0.832,0.132
771999,DMC,3/30/2016,-8.108108108,2.702702703,97.83783784,0.0353027,5.263157895,1,39.67,13.4,11.2,11.2,16,14.74,8.5,6.11,0.058717343,0.052,0.804,0.144
772406,CRUS,5/25/2016,4.49903395,11.75821143,5.879105713,0.019490941,1.699164345,1,41.7,12.7,10.4,8.8,14.6,14.1,8.5,5.62,0.046066706,0.056,0.799,0.146
773141,MDC,2/3/2016,-1.08541765,-0.755073148,-19.15998112,#N/A,4.299516908,1,35.61,15,12.8,11.2,18,14.74,13.5,6.77,0.069223062,0.043,0.821,0.137
773318,VRTC,9/26/2016,0,#N/A,20,#N/A,-20,0,35.61,15,12.8,11.2,18,14.74,13.5,6.77,0.055202269,0.028,0.838,0.134
773318,VRTC,9/26/2016,0,#N/A,20,#N/A,-20,0,39.67,13.4,11.2,11.2,16,14.86,10.5,5.9,0.055202269,0.028,0.838,0.134
773840,HON,2/12/2016,#N/A,#N/A,2.853525516,0.011685716,3.35828245,1,40.69,13.1,10.8,11.2,16.7,15.84,7,5.99,0.043228824,0.04,0.82,0.139
773910,APC,2/17/2016,2.211055276,6.658291457,19.47236181,0.038020439,-5.269889997,0,41.7,12.7,10.4,11.2,16.2,15.61,5.5,5.93,0.054826406,0.047,0.822,0.132
775158,OSK,11/22/2016,0.387712496,3.563972562,19.10229645,0.010265196,4.544775004,1,38.66,13.8,11.6,11.2,17.3,15.5,8,5.69,0.049701073,0.049,0.814,0.137
775368,Y,2/23/2016,-0.255897469,-0.380620605,#N/A,0.008658069,-0.843458393,0,41.7,12.7,10.4,8.8,15.8,15.2,8,6.22,0.064890838,0.089,0.783,0.128
776901,INDB,2/25/2016,0.885780886,-1.258741259,-0.046620047,0.008508489,2.911716748,1,32.57,16.2,14,11.2,19.5,15.21,8.5,6.08,0.071219314,0.048,0.789,0.163
778164,PEIX,3/16/2016,-1.19760479,13.57285429,35.12974052,0.103574944,5.4,1,37.64,14.2,12,11.2,17,14.8,7,5.94,0.054714424,0.043,0.803,0.154
779152,JKHY,8/29/2016,0,0.045777066,-2.025635157,0.00528616,0.137095853,0,38.66,13.8,11.6,11.2,16.7,14.92,15,6.43,0.068159031,0.043,0.829,0.128
779544,ARKR,12/30/2016,-2.706185567,-0.714347079,5.498281787,0.015820044,6.182565508,1,49.15,11.9,10.8,8.8,15.2,14.16,12,5.93,0.067002758,0.044,0.852,0.105
779956,FFFC,5/24/2016,0,0,0,0,0,0,32.22,14.2,10.8,11.2,17.1,16.31,11,5.68,0.0564745,0.042,0.807,0.151
780571,ITRI,6/30/2016,0.834525513,-3.051979018,-4.387219838,0.022910535,3.29591593,1,32.91,18.1,17.2,13,22.9,13.94,11,2.58,0.060575007,0.042,0.82,0.138
783005,EMMS,5/5/2016,0.309225219,0.360762756,-1.357155128,1.249241152,-78.33333333,0,39.67,13.4,11.2,11.2,16.3,14.92,7,5.81,0.047730897,0.04,0.812,0.148
783280,DRE,2/19/2016,0.497017893,6.013916501,4.274353877,0.018331375,2.472799209,1,37.64,14.2,12,11.2,17.2,15.03,11,6.24,0.055644326,0.041,0.842,0.117
783324,VGZ,2/26/2016,-3.191489362,18.08510638,34.25531915,#N/A,6.782608696,1,38.66,13.8,11.6,11.2,16,14.34,6,1.86,0.063626187,0.039,0.833,0.128
783412,DJCO,12/14/2016,4.396428571,5.114285714,17.85714286,0.007569622,-4.123823316,0,41.7,12.7,10.4,8.8,15.7,15.2,8.5,5.94,0.054707393,0.039,0.841,0.12
784199,CRY,3/25/2016,-0.774443369,-5.22749274,1.258470474,0.016793307,3.653846154,1,41.7,12.7,10.4,8.8,14.9,14.45,11,6.68,0.037051542,0.042,0.831,0.127
784977,POR,2/12/2016,-0.33095723,-1.069246436,7.484725051,0.010216888,-3.02409021,0,34.6,15.4,13.2,11.2,18.5,14.86,12,5.89,0.046868711,0.044,0.83,0.126
785161,HLS,2/25/2016,4.873239437,11.46478873,3.887323944,0.013079843,-1.214003388,0,43.73,11.9,9.6,8.8,14.5,15.26,8.5,6.12,0.044558034,0.041,0.812,0.147
785786,PLXS,11/18/2016,1.282051282,4.59566075,10.0591716,0.012409411,0.019747235,0,41.7,12.7,10.4,8.8,15.4,14.85,7.5,6.3,0.047441045,0.048,0.813,0.139
785787,AEPI,1/14/2016,7.551515152,11.09090909,1.951515152,0.028448493,-2.809753682,0,48.13,12.3,11.2,11.2,16,14.8,13.5,6.31,0.050760293,0.055,0.813,0.132
785956,JJSF,11/22/2016,0.241390409,3.789829417,4.248471194,0.006558927,0.460159845,0,39.67,13.4,11.2,11.2,17.1,15.73,8.5,6.07,0.047913561,0.039,0.85,0.111
786947,ACUR,2/29/2016,0,5.529953917,12.05069124,0.020553604,-4.166666667,0,41.7,12.7,10.4,11.2,15.2,14.45,11,6.13,0.040738413,0.072,0.804,0.124
787253,NAII,9/19/2016,0,-4.513540622,-3.209628887,0.01966301,18.01181102,1,35.27,13.1,9.6,11.2,15.3,15.9,9,6,0.06229067,0.047,0.825,0.128
788329,JOUT,12/13/2016,-25.74146614,-17.4034695,-9.009513151,0.078509498,8.803418803,1,39.67,13.4,11.2,11.2,16.2,14.74,19,5.78,0.0466318,0.05,0.814,0.137
788784,PEG,2/26/2016,0.275103164,1.650618982,9.605685465,0.013963141,-2.469135802,0,45.76,11.1,8.8,8.8,13.2,14.5,9,5.71,0.060637283,0.04,0.826,0.134
788920,PDEX,12/29/2016,4.716981132,11.32075472,19.4754717,#N/A,-10.56137012,0,41.7,12.7,10.4,8.8,15.3,14.79,11.5,6.59,0.066356931,0.038,0.843,0.119
788965,HNRG,3/11/2016,1.834862385,7.889908257,13.21100917,0.02694682,1.851851852,1,41.7,12.7,10.4,11.2,16.2,15.55,11,6.1,0.063804116,0.052,0.835,0.113
789019,MSFT,7/28/2016,-1.089285714,0.035714286,#N/A,0.018281944,0.872041289,0,40.69,13.1,10.8,11.2,16.1,15.09,11,5.96,0.071903127,0.044,0.807,0.149
789132,SPNC,2/26/2016,1.457055215,4.064417178,-0.153374233,0.037978595,10.95461659,1,42.72,12.3,10,8.8,14.9,14.79,14,5.89,0.034730548,0.054,0.834,0.113
789460,INT,2/16/2016,0,16.70150987,10.94076655,0.057331553,4.938271605,1,36.63,14.6,12.4,11.2,17.1,14.39,8,5.83,0.052897656,0.064,0.782,0.154
789570,MGM,2/29/2016,0,-0.105988341,-6.147323794,0.019589294,5.28262018,1,41.7,12.7,10.4,11.2,15.3,14.74,8,5.75,0.063259974,0.041,0.806,0.154
789933,NC,3/2/2016,0.99009901,3.346534653,7.326732673,0.01321539,-4.504504505,0,44.75,11.5,9.2,8.8,14.8,15.9,7.5,5.93,0.044503321,0.034,0.822,0.144
790051,CSL,2/8/2016,0,2.929505135,5.859010271,0.02221917,-0.808967988,0,38.66,13.8,11.6,11.2,17,15.32,8,6.05,0.052561249,0.043,0.823,0.134
790359,NBTB,2/29/2016,0,0.266768293,2.019817073,0.007910061,3.217054264,1,30.54,17,14.8,11.2,19.9,14.23,6.5,6.13,0.064212719,0.047,0.795,0.158
790703,TECD,3/24/2016,-1.852093387,-0.730403026,8.647450111,0.006655268,-0.808660493,0,41.7,12.7,10.4,11.2,15.8,15.03,8.5,5.87,0.035497577,0.034,0.828,0.138
790715,SIGM,5/31/2016,0,1.79558011,#N/A,0.01389722,1.659751037,1,38.66,13.8,11.6,11.2,16.3,14.34,8,1.94,0.071513495,0.049,0.818,0.133
790816,BDN,2/29/2016,0,1.128122482,-2.820306205,0.009576161,4.142973193,1,40.69,13.1,10.8,11.2,15.8,14.91,12,6.13,0.047946007,0.052,0.815,0.133
791519,SPLS,3/4/2016,-2.109704641,-0.632911392,9.17721519,0.016680143,-2.532928065,0,31.21,14.6,11.2,11.2,17.2,15.84,11,6.39,0.060206006,0.034,0.86,0.106
791907,LLTC,8/25/2016,0.051029087,0.340193911,16.65249192,0.002604731,-0.221578319,0,35.61,15,12.8,11.2,18.3,14.86,8.5,5.91,0.051584291,0.05,0.817,0.133
791908,XOMA,3/9/2016,-2.222222222,12.77777778,2.222222222,0.029599671,9.090909091,1,39.67,13.4,11.2,11.2,16.3,14.86,11.5,5.81,0.068329824,0.041,0.807,0.152
791915,CY,3/2/2016,1.104294479,6.257668712,4.049079755,0.009043463,2.808302808,1,41.7,12.7,10.4,11.2,16.1,15.43,11,5.9,0.05555078,0.044,0.822,0.133
791963,OPY,3/4/2016,0.639877468,8.73359958,6.834853385,0.026763929,-1.370716511,0,35.61,15,12.8,11.2,17.8,14.68,10.5,6.36,0.069723154,0.053,0.804,0.142
792130,DWCH,11/10/2016,2.985074627,-9.701492537,-6.417910448,0.068189289,3.703703704,1,50.16,11.5,10.4,8.8,14.5,13.81,7.5,6.07,0.040373408,0.058,0.842,0.1
792977,AMAG,2/24/2016,4.592030361,5.123339658,9.297912713,0.025036823,5.203442879,1,42.72,12.3,10,8.8,15.6,15.43,11,6.16,0.050382943,0.043,0.827,0.13
792987,ASTE,2/29/2016,0,#N/A,12.88951841,0.018524314,2.717015888,1,43.73,11.9,9.6,8.8,14.7,15.08,14,6.22,0.058924735,0.035,0.851,0.114
793074,WERN,2/26/2016,0.335445397,0.447260529,10.47335073,0.009354487,-0.747663551,0,39.67,13.4,11.2,11.2,16.4,15.26,11,6.72,0.058614113,0.053,0.823,0.124
793524,REFR,3/10/2016,2.580645161,0.64516129,12.25806452,0.031331733,-4.925053533,0,43.73,11.9,9.6,8.8,14.6,14.91,11,5.87,0.088648722,0.023,0.852,0.125
793547,NAVG,2/12/2016,49.49494949,47.35004365,-3.928170595,0.010007921,0.452488688,0,40.69,13.1,10.8,8.8,16.3,15.44,11,5.8,0.058372077,0.074,0.802,0.124
793733,SKYW,2/26/2016,0.523560209,7.969749855,13.20535195,0.013298994,4.335260116,1,39.67,13.4,11.2,11.2,16.1,14.57,8.5,5.81,0.043762609,0.04,0.814,0.146
793952,HOG,2/18/2016,3.533653846,7.788461538,1.586538462,0.013619816,1.52284264,1,47.12,12.7,11.6,11.2,15.6,13.87,9,5.64,0.049496461,0.043,0.799,0.158
794170,TOL,12/23/2016,-1.018135539,1.30448616,5.567928731,0.012415618,1.883780332,1,38.66,13.8,11.6,11.2,17.5,15.84,8.5,6.33,0.047510364,0.03,0.843,0.127
794323,LVLT,2/26/2016,-0.143442623,1.516393443,2.520491803,0.012952342,-0.123431393,0,43.73,11.9,9.6,8.8,14.5,14.91,14,6.23,0.061169074,0.042,0.822,0.137
794619,AMWD,6/29/2016,3.62217018,-0.343481655,-28.02498048,0.024293058,5.03164557,1,43.73,11.9,9.6,8.8,14.9,15.2,7,6.35,0.057294647,0.041,0.827,0.132
795212,TWMC,4/14/2016,-1.028511913,1.575315714,2.356464002,0.020984039,0.785340314,0,39.67,13.4,11.2,11.2,16.1,14.92,8.5,5.8,0.033869531,0.037,0.841,0.122
795266,KBH,1/25/2016,0,-1.841085271,-22.28682171,0.026634761,4.1,1,43.73,11.9,9.6,8.8,14.4,15.03,6,5.89,0.049894164,0.054,0.809,0.137
795403,WTS,2/29/2016,0,-3.461612841,5.588860955,0.012621482,2.385107621,1,32.22,14.2,10.8,11.2,16.5,15.9,10.5,6.06,0.046639488,0.043,0.822,0.136
796343,ADBE,1/19/2016,0,0.443016945,-2.07110422,0.010152798,-1.390446288,0,39.67,13.4,11.2,8.8,16.5,15.5,8.5,6.56,0.07342968,0.043,0.8,0.157
796505,CLFD,11/22/2016,-3.947368421,-0.52631579,4.473684211,0.013993538,-0.767263427,0,42.72,12.3,10,8.8,15.2,14.97,8.5,6.09,0.051340544,0.045,0.844,0.111
