CIK,Ticker,Date,% change day,% change week,% change month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,textblob sentiment,NLTK Negative,NLTK Neutral,NLTK Positive
1130713,OSTK,3/3/2017,-2.222222222,-0.833333333,2.777777778,0.009573826,-4.347826087,0,36.63,14.6,12.4,11.2,17.6,14.68,8.5,5.94,,,,
96793,SSY,9/28/2017,-1.290322581,0,1.290322581,0.012762045,-4.458598726,0,36.63,14.6,12.4,11.2,17.5,14.86,10.5,5.97,,,,
1487712,AL,2/23/2017,-1.807995926,0.738477209,8.276037688,0.013462146,-4.677338669,0,36.63,14.6,12.4,11.2,17.4,14.51,6,6.2,,,,
911216,PTN,9/19/2016,0,1.23944674,4.796119993,0.048188792,-4.760194,0,36.63,14.6,12.4,11.2,17.2,14.28,8,1.99,0.055671169,0.055,0.802,0.143
1043509,SAH,2/27/2017,0,-13.81578947,-1.096491228,0.047590325,-4.824561404,0,36.63,14.6,12.4,11.2,17.8,15.26,11,6.04,0.036590251,0.031,0.791,0.178
1001907,ASTC,9/29/2016,-3.571428571,79.16666667,79.64285714,0.03183533,-5.172413793,0,36.63,14.6,12.4,11.2,18.1,15.21,11.5,6.29,0.056335079,0.034,0.841,0.125
76605,PATK,3/14/2016,0,3.151542244,23.60303979,0.017661028,-5.297273134,0,36.63,14.6,12.4,11.2,16.8,13.99,6,6.18,0.052421125,0.029,0.837,0.134
1080056,TST,3/5/2015,-4.545454545,1.01010101,-6.060606061,0.018343485,-5.314009662,0,36.63,14.6,12.4,11.2,17.5,14.86,11.5,6.19,0.041341894,0.042,0.817,0.141
872248,PQ,3/9/2017,-1.25,-19.375,-25.625,0.032083669,-5.555555556,0,36.63,14.6,12.4,11.2,17.8,15.15,14.5,5.92,,,,
922621,ERIE,2/25/2016,0.3382075,2.377399781,6.863622799,0.00569377,-5.838906078,0,36.63,14.6,12.4,11.2,17.9,15.26,7.5,5.96,0.05757455,0.041,0.822,0.137
1080448,PGOL,9/2/2016,0.43866171,3.345724907,-48.69888476,0.073577153,-5.906952431,0,36.63,14.6,12.4,11.2,17.6,14.97,11,5.97,0.046770761,0.032,0.837,0.132
1574963,WPT,3/14/2017,-2.660217654,-1.209189843,-1.934703748,0.01031547,-6.183745583,0,36.63,14.6,12.4,11.2,17.9,15.03,13.5,5.89,,,,
